# Event blackout calendar — consumed by src/intraday/risk.py (parsed with comment='#').
# type ∈ {expiry, results, rbi, fed, budget}. symbol empty = market-wide.
# Weekly index expiry (Thursdays) is auto-flagged by risk.py from config.
# Market-wide macro dates verified from FOMC calendar / RBI press releases / Union Budget.
# Per-symbol results dates: run `python scripts/build_events.py --earnings` to populate.
date,type,symbol
2024-02-01,budget,
2025-02-01,budget,
2026-02-01,budget,
2023-08-10,rbi,
2023-10-06,rbi,
2023-12-08,rbi,
2024-02-08,rbi,
2024-04-05,rbi,
2024-06-07,rbi,
2024-08-08,rbi,
2024-10-09,rbi,
2024-12-06,rbi,
2025-02-07,rbi,
2025-04-09,rbi,
2025-06-06,rbi,
2025-08-06,rbi,
2025-10-01,rbi,
2025-12-05,rbi,
2026-02-06,rbi,
2026-04-08,rbi,
2026-06-06,rbi,
2023-07-26,fed,
2023-09-20,fed,
2023-11-01,fed,
2023-12-13,fed,
2024-01-31,fed,
2024-03-20,fed,
2024-05-01,fed,
2024-06-12,fed,
2024-07-31,fed,
2024-09-18,fed,
2024-11-07,fed,
2024-12-18,fed,
2025-01-29,fed,
2025-03-19,fed,
2025-05-07,fed,
2025-06-18,fed,
2025-07-30,fed,
2025-09-17,fed,
2025-10-29,fed,
2025-12-10,fed,
2026-01-28,fed,
2026-03-18,fed,
2026-04-29,fed,
2026-06-17,fed,
2023-07-21,results,RELIANCE
2023-10-27,results,RELIANCE
2024-01-19,results,RELIANCE
2024-04-22,results,RELIANCE
2024-07-19,results,RELIANCE
2024-10-14,results,RELIANCE
2025-01-16,results,RELIANCE
2023-07-12,results,TCS
2023-10-11,results,TCS
2024-01-11,results,TCS
2024-04-12,results,TCS
2024-07-11,results,TCS
2024-10-10,results,TCS
2025-01-09,results,TCS
2023-07-17,results,HDFCBANK
2023-10-16,results,HDFCBANK
2024-01-16,results,HDFCBANK
2024-04-20,results,HDFCBANK
2024-07-20,results,HDFCBANK
2024-10-19,results,HDFCBANK
2025-01-22,results,HDFCBANK
2023-07-22,results,ICICIBANK
2023-10-21,results,ICICIBANK
2024-01-20,results,ICICIBANK
2024-04-27,results,ICICIBANK
2024-07-27,results,ICICIBANK
2024-10-26,results,ICICIBANK
2025-01-25,results,ICICIBANK
2023-07-20,results,INFY
2023-10-12,results,INFY
2024-01-11,results,INFY
2024-04-19,results,INFY
2024-07-18,results,INFY
2024-10-17,results,INFY
2025-01-16,results,INFY
2025-06-02,results,INFY
2025-07-08,results,INFY
2023-08-04,results,SBIN
2023-11-04,results,SBIN
2024-02-03,results,SBIN
2024-05-09,results,SBIN
2024-08-03,results,SBIN
2024-11-08,results,SBIN
2025-02-06,results,SBIN
2023-08-03,results,BHARTIARTL
2023-10-31,results,BHARTIARTL
2024-02-05,results,BHARTIARTL
2024-05-14,results,BHARTIARTL
2024-08-05,results,BHARTIARTL
2024-10-28,results,BHARTIARTL
2025-02-06,results,BHARTIARTL
2023-08-14,results,ITC
2023-10-19,results,ITC
2024-01-29,results,ITC
2024-05-23,results,ITC
2024-08-01,results,ITC
2024-10-24,results,ITC
2025-02-06,results,ITC
2023-07-25,results,LT
2023-10-31,results,LT
2024-01-30,results,LT
2024-05-08,results,LT
2024-07-24,results,LT
2024-10-30,results,LT
2025-01-30,results,LT
2023-07-22,results,KOTAKBANK
2023-10-21,results,KOTAKBANK
2024-01-20,results,KOTAKBANK
2024-05-04,results,KOTAKBANK
2024-07-20,results,KOTAKBANK
2024-10-19,results,KOTAKBANK
2025-01-18,results,KOTAKBANK
2023-07-26,results,AXISBANK
2023-10-25,results,AXISBANK
2024-01-23,results,AXISBANK
2024-04-24,results,AXISBANK
2024-07-24,results,AXISBANK
2024-10-17,results,AXISBANK
2025-01-16,results,AXISBANK
